id,name,lat,lng,slug,sku,url,icon
bb2d5b91-47a5-447b-a7b9-b08078ac1a6a,Francisco Bilbao dte. 4370 / Av. Ossa,-33.4314,-70.5751,tobalaba-eliecer-parada-nnr-002,,https://maps.oohpublicidad.cl/espacios-publicitarios/tobalaba-eliecer-parada-nnr-002/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
b6431f5d-6c10-445e-b776-908ef985d9f5,Francisco Bilbao dte. 4370 / Av. Ossa,-33.4314,-70.5751,hamburgo-120-licenciado-las-penas,,https://maps.oohpublicidad.cl/espacios-publicitarios/hamburgo-120-licenciado-las-penas/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
fd1f0584-02af-4034-b471-f6cf648952dd,Francisco Bilbao fte. 3955  / Alcántara,-33.4316,-70.5811,tobalaba-s-n-hamburgo,,https://maps.oohpublicidad.cl/espacios-publicitarios/tobalaba-s-n-hamburgo/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
0dea5468-1860-48a3-be3a-3f651a6f428c,Francisco Bilbao fte. 3955  / Alcántara,-33.4316,-70.5811,tobalaba-5475-av-ossa,,https://maps.oohpublicidad.cl/espacios-publicitarios/tobalaba-5475-av-ossa/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
d209a96d-98c0-4045-8b51-a734ff00cdc5,Francisco Bilbao fte. 4541 / Las Carretas,-33.4315,-70.5788,av-irarrazaval-hamburgo,,https://maps.oohpublicidad.cl/espacios-publicitarios/av-irarrazaval-hamburgo/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
abe972ec-5a78-480f-88df-494860a6e612,Francisco Bilbao fte. 4541 / Las Carretas,-33.4315,-70.5788,pdte-j-b-y-ordonez-4864-irarrazaval,,https://maps.oohpublicidad.cl/espacios-publicitarios/pdte-j-b-y-ordonez-4864-irarrazaval/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
97492709-2775-4405-adc8-5501d1e1feb7,Francisco Bilbao fte. 6445 / Manquehue,-33.4311,-70.5655,pdte-j-b-y-ordonez-4620-gral-gorostiaga,,https://maps.oohpublicidad.cl/espacios-publicitarios/pdte-j-b-y-ordonez-4620-gral-gorostiaga/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
97b5402f-eaa8-4e33-9594-f8ac27ccc78c,Francisco Bilbao dte. 6800 / Monseñor Edwards,-33.4309,-70.5602,pdte-j-b-ordonez-s-n-simon-bolivar-nnr-022,,https://maps.oohpublicidad.cl/espacios-publicitarios/pdte-j-b-ordonez-s-n-simon-bolivar-nnr-022/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
52efd5cc-d17c-457b-84a3-8ebe729d1c0b,Francisco Bilbao dte. 6800 / Monseñor Edwards,-33.4309,-70.5602,providencia-pasado-condell-parque-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-pasado-condell-parque-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
fbfcc144-3c36-4ab6-8f54-2fafd3379321,Echeñique dte. 8428 / Plaza Carlos Ossandón,-33.4419,-70.5445,providencia-pasado-seminario-parque-ref-1,,https://maps.oohpublicidad.cl/espacios-publicitarios/providencia-pasado-seminario-parque-ref-1/modal,https://maps.oohpublicidad.cl/espacios-publicitarios/markers/marker-shelter.png
